STT,Tên chip CPU,Đơn nhân,Đa nhân,Laptop
52,Core i7 14650HX,1922,23840,Gigabyte AORUS 16X ASG-53VNC94SH
53,Core i9 13900H,2020,22700,Acer Aspire 5 A515-58P-9841
54,M2 Pro,1589,13876,
55,Core i9 13900HK,1958,20864,
56,Core 9 270H,1810,16502,
57,Core Ultra 7 266V,1990,10702,
58,Ryzen 9 8945HS,1805,17079,
59,Ryzen 7 8845HS,1775,16232,Acer Nitro V 16 ProPanel ANV16-41-R36Y
60,Core i9 13905H,2020,20034,
61,Ryzen 7 7840HS,1793,17088,HP Victus 16-s0077AX
62,Ryzen 9 7940HS,1829,17497,
63,Ryzen 7 7745HX,1846,18060,
64,Core i9 12900HX,1912,23150,
65,Core 7 250H,1849,16800,
66,Ryzen 7 8745HS,1687,14557,
67,Core Ultra 9 185H,1809,18420,HP OMEN 14-fb0134TX
68,Snapdragon X Elite (X1E-84-100),1350,9471,
69,Core i9 12950HX,2009,23395,
70,Ryzen AI 5 340,1862,11734,
71,Core Ultra 9 288V,1878,10522,MSI Prestige 16 AI+ B2VMG
72,Core Ultra 7 268V,1980,10905,HP Elitebook Ultra G1i AI – B9FE9PT
73,Core Ultra 7 258V,1948,10867,"Asus Vivobook S 14 S5406SA
MSI Prestige 13 AI+ A2VMG
Acer Swift AI SF14 51 75VP"
74,Core Ultra 7 165H,1759,14551,
75,Core i7 13700HX,1839,20319,HP Victus 16-r0369TX – AY8Y2PA
76,Core i7 13800H,2017,17591,
77,Ryzen 5 240,1742,13013,
78,Ryzen Z1 Extreme,1689,13955,
79,Snapdragon X Elite (X1E-78-100),1530,12160,
80,Core i5 14500HX,1880,19608,
81,Core Ultra 5 135H,1740,13892,
82,Core Ultra 7 155H,1795,15043,"Acer Aspire 16 AI A16 71M 71U7
MSI Prestige 14 AI Studio C1UDXG"
83,Ryzen 7 8840HS,1737,13888,HP Envy X360 14 fa0048AU
84,Ryzen 7 7840U,1754,12883,
85,Ryzen 5 7645HX,1809,13985,
86,Core i7 13650HX,1868,20999,Lenovo Gaming LOQ 15IRX9
87,Core i7 12800HX,1786,20012,
88,M1 Max,1542,12411,
89,Core 7 240H,1905,14686,Asus Gaming V16 V3607VM – RP044W
90,Core Ultra 7 256V,1888,10579,
91,Core Ultra 5 238V,1810,9390,
92,Core Ultra 5 236V,1808,9381,
93,Ryzen 5 8645HS,1751,11993,Acer Nitro V 16 ProPanel ANV16 41 R6ZY
94,Ryzen 5 8640U,1780,11289,
95,Core i7 13705H,1874,18765,
96,Ryzen 5 230,1780,10603,
97,Core Ultra 5 235U,1806,11324,HP EliteBook 6 G1i – BQ9N0PT
98,Core Ultra 7 255U,1803,10790,
99,Core Ultra 7 265U,1820,12315,HP EliteBook 6 G1i – BQ9N5PT
100,Core Ultra 5 228V,1705,9971,Acer Swift Edge 14 AI SFE14-51T-52KD
101,Ryzen 7 8840U,1704,12455,
102,Ryzen 5 7640HS,1715,13029,
103,Core i7 13700H,1863,15541,Msi Modern 15 H C13M-216VN
104,Core i9 12900H,1908,16587,
105,Core i9 12900HK,1940,18373,
106,M1 Pro,1529,12108,
107,Core 5 220H,1815,12252,
108,Core i7 12650HX,1739,18292,
109,Core Ultra 5 226V,1699,9867,Dell 16 Plus DB16250 – DB6U5387W1
110,Core i5 14450HX,1801,16382,Msi Katana B14WEK-286VN
111,Core i7 13620H,1805,15496,Msi Cyborg 14 A13UDX-099VN
112,Core i5 13600H,1810,14988,
113,Core i7 1370P,1995,10877,
114,Ryzen 5 7640U,1635,11012,
115,Core i5 13500HX,1855,18235,HP Victus 16-R0302TX – AE0N9PA
116,Apple M2,1581,8667,
117,Ryzen 5 Pro 215,1702,9789,
118,Core Ultra 5 225U,1618,10664,Lenovo ThinkPad T14s Gen 6 – 21R10005VN
119,Ryzen Z1,1796,9890,
120,Snapdragon X Plus (X1P-64-100),1115,8152,
121,Core Ultra 5 125H,1655,12620,Msi Venture 14 AI A1MG-005VN
122,Ryzen 5 8640HS,1730,11040,
123,Ryzen 5 8540U,1801,10492,
124,Ryzen 5 7540U,1789,9892,
125,Ryzen 7 7735HS,1546,13598,Lenovo LOQ 15ARP10E – 83S0004FVN
126,Core i7 1360P,1893,12279,
127,Core i7 12700H,1744,14619,
128,Core i7 12800H,1813,15798,
129,Ryzen 5 220,1710,9927,
130,Core 7 150U,1875,8883,"Dell 16 DC16251 – DC6C7557W1
HP 14 ep1005TU – 9Z2W0PA"
131,Core i5 13500H,1745,14340,Lenovo LOQ 15ARP10E – 83S0004FVN
132,Core i5 13450HX,1842,14906,
133,Core i5 12600H,1768,13730,
134,Ryzen 7 6800HS,1508,12728,
135,Ryzen 9 6900HS,1552,14030,
136,Ryzen 7 6800H,1556,14716,
137,Ryzen 9 6900HX,1565,14136,
138,Ryzen 7 7445HS,1654,10113,"Asus TUF Gaming A15 FA506NCG-HN184W
HP Victus 15-fb3116AX – BX8U4PA"
139,Core 5 220U,1850,7901,
140,Ryzen 7 7435HS,1477,13805,
141,Core Ultra 7 165U,1679,10632,
142,Ryzen 7 7736U,1548,12768,
143,Core i7 1365U,1883,9343,
144,Core i7 1280P,1651,11666,
145,Core 5 210H,1684,11091,Lenovo IdeaPad Slim 5 14IRH10R – 83J0006EVN
146,Snapdragon X Plus (X1P-46-100),1151,7596,
147,Core 5 120U,1844,7862,
148,Core Ultra 7 155U,1730,9878,HP Envy X360 14-fc0155TU – AY8W3PA
149,Ryzen 7 7735U,1490,10085,
150,Core i5 1350P,1697,11104,
151,Ryzen 7 Pro 6850U,1493,10032,
152,Ryzen 7 6800U,1488,10468,
153,Core i7 12650H,1779,13189,Acer Aspire 7 A715-59G-73LB
154,Apple M1,1514,7800,
155,Ryzen 3 210,1680,8213,
156,Snapdragon X Plus (X1P-42-100),1109,7422,
157,Ryzen 3 7440U,1599,8992,
158,Core i7 1355U,1799,9273,HP 15-fd0823TU – C81NMPA
159,Core i5 12500H,1689,13228,
160,Core i9 11980HK,1574,13977,
161,Ryzen 9 5980HX,1634,11974,
162,Core Ultra 5 135U,1563,9315,
163,Core Ultra 5 125U,1558,9799,Acer Swift Lite 14 SFL14-51M-56HS
164,Core i5 1345U,1773,8198,
165,Core i5 1340P,1701,10660,HP ProBook 450 G10 – 9H8V6PT
166,Core i7 1260P,1737,9743,
167,Ryzen 7 7730U,1448,10801,Acer Aspire Lite AL15-42P-R08M
168,Core i5 13420H,1697,9851,Gigabyte Gaming A16 CTHH3VN893SH
169,Ryzen 9 5900HX,1486,12827,
170,Snapdragon X (X1-26-100),976,7171,
171,Core i5 1334U,1642,8315,Dell 15 DC15250 – CPH99
172,Ryzen 5 7535U,1498,9771,
173,Ryzen 5 7535HS,1488,10900,Acer Nitro V 15 ProPanel ANV15-41-R7AP
174,Core i5 1335U,1684,8915,Acer Aspire 5 A514-56P-55K5
175,Core i7 1270P,1620,9718,
176,Core i7 1265U,1738,8108,
177,Ryzen 5 6600H,1458,10226,Acer Gaming Nitro V 15 – ANV15-41-R732
178,Core i9 11900H,1580,12143,
179,Ryzen 9 5900HS,1470,12745,
180,Ryzen 7 5800H,1422,12231,
181,Core i5 12450HX,1583,11435,Lenovo LOQ Essential 15IAX9E – 83LK0079VN
182,Core 3 100U,1750,6502,
183,Ryzen 5 Pro 6650U,1463,8854,
184,Ryzen 7 5825U,1417,9772,Lenovo IdeaPad Flex 5 14ABR8 – 82XX00FWVN
185,Core i5 1245U,1630,7378,
186,Core i7 1255U,1656,8285,Acer Aspire Lite 16 AL16-51P-72S2
187,Core i5 1240P,1510,9291,
188,Core i5 1250P,1521,9282,
189,Ryzen 5 6600U,1493,9828,
190,Core i5 12450H,1587,9947,Acer Gaming Aspire 7 A715-76G-5806
191,Core i7 11850H,1517,12345,
192,Ryzen 5 7530U,1443,8418,
193,Core i7 11800H,1500,12180,
194,Ryzen 7 5800HS,1339,10472,
195,Ryzen 7 5800U,1425,8154,
196,Ryzen 5 7430U,1421,8198,Acer Swift Go 14 SFG14-41-R251
197,Core i3 1220P,1525,7453,
198,Core i5 1235U,1640,6601,
199,Ryzen 7 Pro 5850U,1403,8656,
200,Processor U300,1570,4887,
